time_s,sensor_id,x_m,y_m,exx,eyy,exy,exx_plus_eyy,eps_axis,eps_impact_dir
0.000000000000000000e+00,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.981684981684981708e-06,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.981684981684981708e-06,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,-1.749373432432523623e-36,-1.053538593119991544e-36,-2.816178714091064401e-36,-2.802912025552515168e-36,-1.749373432432523623e-36,-4.218711635633157368e-36
4.981684981684981708e-06,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.981684981684981708e-06,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.963369963369963416e-06,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,-2.606095297668981961e-120,-3.196391719412511961e-122,-9.323519524479956553e-121,-2.638059214863106989e-120,-2.606095297668981961e-120,-2.897529650197392028e-120
9.963369963369963416e-06,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,-1.488287908155928528e-15,-1.200905721808476844e-15,-2.735515667928079233e-15,-2.689193629964405371e-15,-1.488287908155928528e-15,-4.034472134026825562e-15
9.963369963369963416e-06,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,-1.052079331194906007e-165,-2.636722047851846725e-166,-1.201154063261597993e-165,-1.315751535980090619e-165,-1.052079331194906007e-165,-1.918564273075156079e-165
9.963369963369963416e-06,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,-1.310692490532714955e-70,-2.404992190905868146e-69,-1.623725102730356348e-69,-2.536061439959139577e-69,-1.310692490532714955e-70,-3.226596811788939327e-69
1.494505494505494512e-05,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,-3.657433805169819527e-59,-7.384426363175941235e-61,-1.647067270356675833e-59,-3.731278068801578939e-59,-3.657433805169819527e-59,-4.233683969989416797e-59
1.494505494505494512e-05,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,-9.495084332847542693e-10,-9.107584216695113060e-10,-1.958507863543032600e-09,-1.860266854954265575e-09,-9.495084332847542693e-10,-2.835897070154967816e-09
1.494505494505494512e-05,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,-2.897348663388402148e-105,-1.701815678339874666e-105,-4.560515632971478842e-105,-4.599164341728276815e-105,-2.897348663388402148e-105,-6.870096913030444363e-105
1.494505494505494512e-05,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,-3.226387568123518110e-37,-1.327663918387900173e-36,-1.551020647676949647e-36,-1.650302675200251817e-36,-3.226387568123518110e-37,-2.291692068854105190e-36
1.992673992673992683e-05,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,-2.671412695919047639e-31,-1.528645353710750302e-32,-1.903506296311841607e-31,-2.824277231290122806e-31,-2.671412695919047639e-31,-3.440793233976288867e-31
1.992673992673992683e-05,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,-1.234532029727159254e-09,-1.172542487480761984e-09,-2.535206593257949571e-09,-2.407074517207921238e-09,-1.234532029727159254e-09,-3.671890115928506949e-09
1.992673992673992683e-05,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,-2.882311773643724112e-72,-2.012015590382137579e-72,-4.888148349409692777e-72,-4.894327364025861691e-72,-2.882311773643724112e-72,-7.296626978725168054e-72
1.992673992673992683e-05,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,-1.139634781624015503e-20,-2.594156230583204951e-20,-3.684857929248842011e-20,-3.733791012207220454e-20,-1.139634781624015503e-20,-5.027754271150608942e-20
2.490842490842490854e-05,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,-3.024749270466220890e-17,-7.732478457646812936e-18,-3.648953312652634730e-17,-3.797997116230902183e-17,-3.024749270466220890e-17,-4.663788320028825970e-17
2.490842490842490854e-05,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,-2.182247098413575686e-12,1.807145281466761495e-10,-2.151179173736568215e-09,1.785322810482625714e-10,-2.182247098413575686e-12,-2.020843209202129139e-09
2.490842490842490854e-05,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,-2.595473387023887784e-49,-1.964422009243035725e-49,-4.566807237192134784e-49,-4.559895396266923889e-49,-2.595473387023887784e-49,-6.788739208822353445e-49
2.490842490842490854e-05,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,-7.184094717865944293e-12,-1.293812583855043248e-11,-2.028075752203179515e-11,-2.012222055641637678e-11,-7.184094717865944293e-12,-2.667789919758812631e-11
2.989010989010989025e-05,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,-1.810833739906950251e-10,-7.586095552024760681e-11,-2.589007804003731655e-10,-2.569443295109426448e-10,-1.810833739906950251e-10,-3.008508223545302533e-10
2.989010989010989025e-05,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,2.079452705649043487e-10,2.459430605312897984e-10,-1.069452134539947912e-08,4.538883310961941472e-10,2.079452705649043487e-10,-1.015870465914396005e-08
2.989010989010989025e-05,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,-1.200757794847006895e-32,-9.545582004001649339e-33,-2.162640308681819705e-32,-2.155315995247171966e-32,-1.200757794847006895e-32,-3.206499303625166465e-32
