time_s,sensor_id,x_m,y_m,exx,eyy,exy,exx_plus_eyy,eps_axis,eps_impact_dir
0.000000000000000000e+00,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.981684981684981708e-06,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,-4.601971347831489503e-86,-4.588604016836603823e-87,-3.022054695743686827e-86,-5.060831749515150243e-86,-4.601971347831489503e-86,-5.814245864581818585e-86
4.981684981684981708e-06,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,-1.649372332682919438e-21,-1.782039475130493644e-21,-3.337299549714016978e-21,-3.431411807813413082e-21,-1.649372332682919438e-21,-4.939252967285755929e-21
4.981684981684981708e-06,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,-4.552805031934586393e-111,-3.311488442260784062e-111,-7.774524302618366018e-111,-7.864293474195370825e-111,-4.552805031934586393e-111,-1.162797448974665476e-110
4.981684981684981708e-06,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,6.027764768413411678e-57,2.204284839028029889e-56,2.336260337957547390e-56,2.807061315869370944e-56,6.027764768413411678e-57,3.642912634641901463e-56
9.963369963369963416e-06,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,4.588113207749959286e-43,4.885609682936310768e-44,3.144716553384675006e-43,5.076674176043590562e-43,4.588113207749959286e-43,5.863082921225609802e-43
9.963369963369963416e-06,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,-8.159322155860496124e-13,-5.969676866376261520e-13,-1.399063359173718562e-12,-1.412899902223675663e-12,-8.159322155860496124e-13,-2.090820790048592966e-12
9.963369963369963416e-06,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,-5.113559927760094729e-68,-4.261781923825003899e-68,-9.317970278926202534e-68,-9.375341851585098627e-68,-5.113559927760094729e-68,-1.383490027673539008e-67
9.963369963369963416e-06,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,1.665626673299787603e-33,8.807314090233390595e-33,8.112162009322812629e-33,1.047294076353317786e-32,1.665626673299787603e-33,1.355989980506647738e-32
1.494505494505494512e-05,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,4.546834408551906295e-30,6.676248407678838556e-32,1.889535649795320977e-30,4.613596892628694954e-30,4.546834408551906295e-30,5.184408302467665670e-30
1.494505494505494512e-05,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,-8.167323552775631195e-10,-7.842377463193211867e-10,-1.681888732012323633e-09,-1.600970101596884306e-09,-8.167323552775631195e-10,-2.436985129959548280e-09
1.494505494505494512e-05,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,5.396382316304018837e-48,9.261918720906382300e-49,5.940281873710074186e-48,6.322574188394657219e-48,5.396382316304018837e-48,9.464625795210003182e-48
1.494505494505494512e-05,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,-1.201352299862472153e-22,-4.288523868125461836e-22,-4.866009587857382087e-22,-5.489876167987933519e-22,-1.201352299862472153e-22,-7.323082375128831006e-22
1.992673992673992683e-05,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,-1.668882024139385967e-20,-1.010518860293874721e-21,-1.279290080692975406e-20,-1.769933910168773401e-20,-1.668882024139385967e-20,-2.193912426439034571e-20
1.992673992673992683e-05,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,-1.085066347632413181e-09,-9.113556229023487508e-10,-2.088098631758670100e-09,-1.996421970534761829e-09,-1.085066347632413181e-09,-3.045984744213466013e-09
1.992673992673992683e-05,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,8.047057726406061273e-35,-1.962768397943981126e-35,5.105770790258113680e-35,6.084289328462080415e-35,8.047057726406061273e-35,9.201095885895278608e-35
1.992673992673992683e-05,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,-8.853835886007597902e-16,-2.025658319980037649e-15,-2.863123621990890084e-15,-2.911041908580797538e-15,-8.853835886007597902e-16,-3.915003383586926177e-15
2.490842490842490854e-05,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,-8.259207557855512238e-14,-2.106253669977285370e-14,-1.117409928085286183e-13,-1.036546122783279698e-13,-8.259207557855512238e-14,-1.332565899423033194e-13
2.490842490842490854e-05,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,1.127935624431440998e-11,1.468269075983978387e-10,-2.324926701641007983e-09,1.581062638427122519e-10,1.127935624431440998e-11,-2.194021818808477429e-09
2.490842490842490854e-05,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,-9.484620609371779901e-26,-2.198814233510955974e-25,-3.313371876163647911e-25,-3.147276294448134194e-25,-9.484620609371779901e-26,-4.639653171578918593e-25
2.490842490842490854e-05,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,-2.906151005597048491e-11,-4.777041660470755755e-11,-7.884273102470945101e-11,-7.683192666067804246e-11,-2.906151005597048491e-11,-1.017467104511796276e-10
2.989010989010989025e-05,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,-2.457934626297779727e-10,-1.127336403373974745e-10,-3.895178263865215847e-10,-3.585271029671754472e-10,-2.457934626297779727e-10,-4.275930493203165053e-10
2.989010989010989025e-05,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,4.249085099613029550e-10,7.059920706058514590e-11,-1.170359982765180408e-08,4.955077170218880492e-10,4.249085099613029550e-10,-1.107025781059617238e-08
2.989010989010989025e-05,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,-9.191882984501801577e-19,-9.855456526732601458e-19,-1.933421732167843752e-18,-1.904733951123440111e-18,-9.191882984501801577e-19,-2.821149584503230893e-18
