time_s,z_m,ux,uy,uz
0.000000000000000000e+00,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.981684981684981708e-06,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.362332755435279629e-06
4.981684981684981708e-06,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.077276597208501990e-06
4.981684981684981708e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.984335894539866059e-07
4.981684981684981708e-06,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,8.060931394794417100e-07
4.981684981684981708e-06,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.719601990252460478e-07
9.963369963369963416e-06,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.341131444450492482e-06
9.963369963369963416e-06,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.412957721528525884e-06
9.963369963369963416e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.827064326725694354e-06
9.963369963369963416e-06,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.522029918233246841e-06
9.963369963369963416e-06,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.405501935854341756e-06
1.494505494505494512e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.089916008487998022e-05
1.494505494505494512e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.404242638320061963e-06
1.494505494505494512e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.456916574423943868e-06
1.494505494505494512e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,7.958508488414552741e-06
1.494505494505494512e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.761229472222798132e-06
1.992673992673992683e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.757702977781511286e-05
1.992673992673992683e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.560876360172206250e-05
1.992673992673992683e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.436289638977047777e-05
1.992673992673992683e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.370482323804322184e-05
1.992673992673992683e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.343855527113804225e-05
2.490842490842490854e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.489224913754258827e-05
2.490842490842490854e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.258902893857258728e-05
2.490842490842490854e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.113089050122193168e-05
2.490842490842490854e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.035835265186651053e-05
2.490842490842490854e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.003855466449962975e-05
2.989010989010989025e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.237905552090038685e-05
2.989010989010989025e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.988893010308409922e-05
2.989010989010989025e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.830940815669873601e-05
2.989010989010989025e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.746855188010618472e-05
2.989010989010989025e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.711295435689340576e-05
3.487179487179486857e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.988790061221076364e-05
3.487179487179486857e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.729349686927573465e-05
3.487179487179486857e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.564416782975273965e-05
3.487179487179486857e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.476289145768546513e-05
3.487179487179486857e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.438424991144961579e-05
3.985347985347985366e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.755788905873877779e-05
3.985347985347985366e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.486014685709102998e-05
3.985347985347985366e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.314183767857662923e-05
3.985347985347985366e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.222107922112943384e-05
3.985347985347985366e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.182132174087285412e-05
4.483516483516483198e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.497081699533389753e-05
4.483516483516483198e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,5.226423851558868131e-05
4.483516483516483198e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.053777172664230101e-05
4.483516483516483198e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.960895506290390820e-05
4.483516483516483198e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.919986332269565485e-05
4.981684981684981708e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.222983256589581307e-05
4.981684981684981708e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,5.953120012983444700e-05
4.981684981684981708e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.781010422263061106e-05
4.981684981684981708e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,5.688216892473145036e-05
4.981684981684981708e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.646950015038655813e-05
5.479853479853479540e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.964252546098784018e-05
5.479853479853479540e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,6.691070289954407894e-05
5.479853479853479540e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.516785811372805947e-05
5.479853479853479540e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,6.422673890662924706e-05
5.479853479853479540e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.380598644630649174e-05
5.978021978021978049e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.672187212705870783e-05
5.978021978021978049e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,7.405290439693750946e-05
5.978021978021978049e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.234749833815438307e-05
5.978021978021978049e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,7.142250015982807253e-05
5.978021978021978049e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.100334888812013330e-05
6.476190476190475881e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.367400406483986705e-05
6.476190476190475881e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,8.104676485242719814e-05
6.476190476190475881e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.936758803775279653e-05
6.476190476190475881e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,7.845595776673344257e-05
6.476190476190475881e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.804002583776395376e-05
6.974358974358973713e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,9.068233873720288915e-05
6.974358974358973713e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,8.805530071318660719e-05
6.974358974358973713e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.637524853691247136e-05
6.974358974358973713e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,8.546293249317598087e-05
6.974358974358973713e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.504541012509720971e-05
7.472527472527471545e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,9.720418417555848443e-05
7.472527472527471545e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.467766912767285438e-05
7.472527472527471545e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.305977349940015549e-05
7.472527472527471545e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.217727641169185665e-05
7.472527472527471545e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,9.176821538352090708e-05
7.970695970695970732e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.037119128318696464e-04
7.970695970695970732e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.012168344663024009e-04
7.970695970695970732e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.961987073397229322e-05
7.970695970695970732e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.874878241178681863e-05
7.970695970695970732e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,9.834405926043414425e-05
8.468864468864468564e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.101938221281026223e-04
8.468864468864468564e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.077279287399257927e-04
8.468864468864468564e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.061477784615366725e-04
8.468864468864468564e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.052838984185454791e-04
8.468864468864468564e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.048809667734602224e-04
8.967032967032966396e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.162040426995493008e-04
8.967032967032966396e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.138555456860584057e-04
8.967032967032966396e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.123484323588086833e-04
8.967032967032966396e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.115207512904884421e-04
8.967032967032966396e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.111296308493817250e-04
9.465201465201464228e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.222520049765353999e-04
9.465201465201464228e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.199334459749104218e-04
9.465201465201464228e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.184471928185355246e-04
9.465201465201464228e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.176328542993244799e-04
9.465201465201464228e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.172478998138951582e-04
9.963369963369963416e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.281216094693699665e-04
9.963369963369963416e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.258597252054434695e-04
9.963369963369963416e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.244081468136847230e-04
9.963369963369963416e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.236110168553393148e-04
9.963369963369963416e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.232320036563101741e-04
1.046153846153846125e-04,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.336320158292465885e-04
1.046153846153846125e-04,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.314643118506998861e-04
1.046153846153846125e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.300719655213711560e-04
1.046153846153846125e-04,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.293051411019240321e-04
1.046153846153846125e-04,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.289374203064165450e-04
1.095970695970695908e-04,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.391745844952860126e-04
1.095970695970695908e-04,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.370349896265137012e-04
1.095970695970695908e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.356612061474055705e-04
1.095970695970695908e-04,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.349053205107468188e-04
1.095970695970695908e-04,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.345429468804206700e-04
1.145787545787545691e-04,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.445280246007108415e-04
1.145787545787545691e-04,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.424532931656678075e-04
1.145787545787545691e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.411190819641989526e-04
