time_s,contact_force_N,impact_w_m,ball_travel_m,indentation_m,energy_J,S1_mean_exx_plus_eyy,S2_mean_exx_plus_eyy,S3_mean_exx_plus_eyy,S4_mean_exx_plus_eyy
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.227579619865871753e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.999687519530029071e-06,1.966094722093700398e+01,3.107829475159993530e-09,8.844304750206207462e-06,8.841196920731047873e-06,6.227528623749123936e-03,-1.003344394014726670e-10,-1.003344394014712712e-10,-1.003344394014281544e-10,-1.003344394014289299e-10
9.999375039060058143e-06,5.485613655290151058e+01,3.506986534547704751e-08,1.755738891908521486e-05,1.752231905373973623e-05,6.227513514380188242e-03,-1.130579435432367000e-09,-1.130579435432351284e-09,-1.130579435431867383e-09,-1.130579435431876482e-09
1.499906255859008806e-05,9.787991768554253724e+01,1.437553868436258397e-07,2.592104014482741187e-05,2.577728475798378490e-05,6.227515036252744170e-03,-4.623156928516187868e-09,-4.623156928516125002e-09,-4.623156928514156312e-09,-4.623156928514186090e-09
1.999875007812011629e-05,1.435790685602414385e+02,3.879786595387473817e-07,3.366687078485015026e-05,3.327889212531140499e-05,6.227532344873608870e-03,-1.243441861124711702e-08,-1.243441861124693835e-08,-1.243441861124159807e-08,-1.243441861124170395e-08
2.499843759765014620e-05,1.869332070597777431e+02,8.301409877250096202e-07,4.050960009731747460e-05,3.967945910959246307e-05,6.227561544282288891e-03,-2.648495476934939224e-08,-2.648495476934903490e-08,-2.648495476933763966e-08,-2.648495476933782494e-08
2.999812511718017612e-05,2.231315087379907993e+02,1.529246415288295529e-06,4.617862033461769600e-05,4.464937391932939729e-05,6.227594802736288390e-03,-4.851085408088987617e-08,-4.851085408088921442e-08,-4.851085408086827683e-08,-4.851085408086859446e-08
3.499781263671020604e-05,2.480440194815713255e+02,2.534252339933891980e-06,5.044805197555298697e-05,4.791379963561909287e-05,6.227622178401758142e-03,-7.982744850040255548e-08,-7.982744850040149669e-08,-7.982744850036692715e-08,-7.982744850036745655e-08
3.999750015624023257e-05,2.587605492540574801e+02,3.878378204236771253e-06,5.316247649755775705e-05,4.928409829332098326e-05,6.227634947316283698e-03,-1.211283018228968008e-07,-1.211283018228952126e-07,-1.211283018228428024e-07,-1.211283018228437553e-07
4.499718767577026588e-05,2.540170841462205544e+02,5.575102201039166840e-06,5.425504469259579673e-05,4.867994249155662735e-05,6.227628899754267429e-03,-1.723452587295559182e-07,-1.723452587295535888e-07,-1.723452587294785205e-07,-1.723452587294795793e-07
4.999687519530029241e-05,2.343898826269140443e+02,7.616425442023142851e-06,5.375533715887564364e-05,4.613891171685249740e-05,6.227606011928506907e-03,-2.325898375848821640e-07,-2.325898375848791993e-07,-2.325898375847769201e-07,-2.325898375847788259e-07
5.499656271483031894e-05,2.022046034983670211e+02,9.973667453850511180e-06,5.178578198665932479e-05,4.181211453280881361e-05,6.227573655351544002e-03,-3.001851600892735229e-07,-3.001851600892692877e-07,-3.001851600891373624e-07,-3.001851600891394799e-07
5.999625023436035224e-05,1.611844424507470137e+02,1.260066939798715439e-05,4.854718944539766388e-05,3.594652004741050779e-05,6.227541740671025880e-03,-3.727840969694484407e-07,-3.727840969694435702e-07,-3.727840969692777635e-07,-3.727840969692803046e-07
6.499593775389037877e-05,1.159328627978099462e+02,1.543892660191268132e-05,4.429556998509201802e-05,2.885664338317933669e-05,6.227519196441152344e-03,-4.475568976972351563e-07,-4.475568976972288035e-07,-4.475568976970272097e-07,-4.475568976970310213e-07
6.999562527342041208e-05,7.140503589866827383e+01,1.842394810519096466e-05,3.931341387488601055e-05,2.088946576969504589e-05,6.227511420752190711e-03,-5.214235749174725918e-07,-5.214235749174653920e-07,-5.214235749172294934e-07,-5.214235749172320345e-07
7.499531279295044539e-05,3.260328609539610767e+01,2.149213245871185604e-05,3.387864429975682670e-05,1.238651184104497065e-05,6.227519930825910210e-03,-5.913055467930135884e-07,-5.913055467930055415e-07,-5.913055467927344910e-07,-5.913055467927383026e-07
7.999500031248046514e-05,5.204686550804765943e+00,2.458779931403149113e-05,2.823285772257223098e-05,3.645058408540739850e-06,6.227546613233965814e-03,-6.543821346173318254e-07,-6.543821346173225081e-07,-6.543821346170179997e-07,-6.543821346170218114e-07
8.499468783201049845e-05,0.000000000000000000e+00,2.767199521259536456e-05,2.254144951348067787e-05,0.000000000000000000e+00,6.227580332005530628e-03,-7.084013218085733019e-07,-7.084013218085618670e-07,-7.084013218082285595e-07,-7.084013218082327947e-07
8.999437535154053175e-05,0.000000000000000000e+00,3.073218224493395699e-05,1.684964791120140945e-05,0.000000000000000000e+00,6.227580402795299640e-03,-7.520123851510692703e-07,-7.520123851510565648e-07,-7.520123851506940347e-07,-7.520123851507016580e-07
9.499406287107055151e-05,0.000000000000000000e+00,3.376566358758501375e-05,1.115809152826876326e-05,0.000000000000000000e+00,6.227580478174630021e-03,-7.842410018323911537e-07,-7.842410018323776012e-07,-7.842410018319905072e-07,-7.842410018319955894e-07
9.999375039060058481e-05,0.000000000000000000e+00,3.676994179075714948e-05,5.466780364682745227e-06,0.000000000000000000e+00,6.227580557313025511e-03,-8.041838809299962622e-07,-8.041838809299844037e-07,-8.041838809295752868e-07,-8.041838809295786750e-07
1.049934379101306181e-04,0.000000000000000000e+00,3.974258399256891644e-05,-2.242855795566466625e-07,0.000000000000000000e+00,6.227580639342759211e-03,-8.110098527792289127e-07,-8.110098527792136661e-07,-8.110098527787901497e-07,-8.110098527787952319e-07
1.099931254296606379e-04,0.000000000000000000e+00,4.268122713810424405e-05,-5.915106304449413148e-06,0.000000000000000000e+00,6.227580723369365197e-03,-8.039651582093123005e-07,-8.039651582093004420e-07,-8.039651582088565968e-07,-8.039651582088625260e-07
1.149928129491906712e-04,0.000000000000000000e+00,4.558358300300549847e-05,-1.160568180999555179e-05,0.000000000000000000e+00,6.227580808482420689e-03,-7.823783854536388313e-07,-7.823783854536227377e-07,-7.823783854531746572e-07,-7.823783854531780454e-07
1.199925004687207045e-04,0.000000000000000000e+00,4.844744300777848378e-05,-1.729601209619506991e-05,0.000000000000000000e+00,6.227580893766480018e-03,-7.456650316156279999e-07,-7.456650316156127533e-07,-7.456650316151545085e-07,-7.456650316151578966e-07
1.249921879882507378e-04,0.000000000000000000e+00,5.127068280962434124e-05,-2.298609716304795224e-05,0.000000000000000000e+00,6.227580978312023327e-03,-6.933316671333513489e-07,-6.933316671333369493e-07,-6.933316671328761634e-07,-6.933316671328787045e-07
1.299918755077807575e-04,0.000000000000000000e+00,5.405126665929452755e-05,-2.867593701055420896e-05,0.000000000000000000e+00,6.227581061226268241e-03,-6.249796833385743588e-07,-6.249796833385616533e-07,-6.249796833381017144e-07,-6.249796833381042555e-07
