time_s,contact_force_N,centre_deflection_m,zeta_m,max_penetration_m,energy_J,energy_drift
9.502446982055464298e-05,2.761805249002897256e+01,1.408401057112861467e-04,1.427730682041771794e-04,1.932962492891032768e-06,6.227520236973307574e-03,1.187162882054327786e-04
1.000257577058469912e-04,2.693358422661864893e+01,1.464633037568301513e-04,1.484429923940875197e-04,1.979688637257368466e-06,6.227804535971812917e-03,1.187162882054327786e-04
1.050270455911393394e-04,2.581236487281483249e+01,1.520224637414474805e-04,1.539442246096952519e-04,1.921760868247771427e-06,6.227826718391889921e-03,1.187162882054327786e-04
1.100283334764316876e-04,2.555057391063011352e+01,1.573956148637983376e-04,1.592813412780692492e-04,1.885726414270911524e-06,6.227613023634171775e-03,1.187162882054327786e-04
1.150296213617240493e-04,2.475046781971019527e+01,1.625174270229164195e-04,1.644589165749182078e-04,1.941489552001788264e-06,6.227659274548041392e-03,1.187162882054327786e-04
1.200309092470163975e-04,2.376483378971031257e+01,1.676572911048058534e-04,1.694814296910545465e-04,1.824138586248693142e-06,6.227893104761695817e-03,1.187162882054327786e-04
1.250321971323087322e-04,2.324727419471702916e+01,1.724854560223396268e-04,1.743533550533271279e-04,1.867899030987501098e-06,6.227557519990439480e-03,1.187162882054327786e-04
1.300334850176010804e-04,2.266557497585225889e+01,1.772209149451976632e-04,1.790791001077514182e-04,1.858185162553755007e-06,6.227597290557065034e-03,1.187162882054327786e-04
1.350347729028934557e-04,2.177111854547491987e+01,1.818971248653897125e-04,1.836628723749783717e-04,1.765747509588659267e-06,6.228002480192196613e-03,1.187162882054327786e-04
1.400360607881858039e-04,2.126855510198036114e+01,1.862600523656778701e-04,1.881088886453321336e-04,1.848836279654263474e-06,6.227341766127459169e-03,1.187162882054327786e-04
1.450373486734781521e-04,2.085345727341885080e+01,1.906616586718483017e-04,1.924212295175058238e-04,1.759570845657522104e-06,6.227749587215281046e-03,1.187162882054327786e-04
1.500386365587705003e-04,1.978287096242135945e+01,1.948503892373224607e-04,1.966038419012976473e-04,1.753452663975186643e-06,6.227947378652683164e-03,1.187162882054327786e-04
1.550399244440628485e-04,1.950103410532296166e+01,1.988750717155320005e-04,2.006605815141570789e-04,1.785509798625078406e-06,6.227196979877805579e-03,1.187162882054327786e-04
1.600412123293551967e-04,1.903781136648583328e+01,2.029032389692812311e-04,2.045952247070474185e-04,1.691985737766187351e-06,6.227981225233015887e-03,1.187162882054327786e-04
1.650425002146475449e-04,1.790395607814938828e+01,2.066651354935441739e-04,2.084114061629655185e-04,1.746270669421344599e-06,6.227658794137180993e-03,1.187162882054327786e-04
1.700437880999398931e-04,1.804036194774946011e+01,2.104169528344417993e-04,2.121126372304334368e-04,1.695684395991637521e-06,6.227319919632775570e-03,1.187162882054327786e-04
