time_s,z_m,ux,uy,uz
0.000000000000000000e+00,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.981684981684981708e-06,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.797503531732295286e-06
4.981684981684981708e-06,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.205438128852540526e-06
4.981684981684981708e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.921972929459089352e-07
4.981684981684981708e-06,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,7.459215728214778936e-07
4.981684981684981708e-06,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.955107722223129623e-07
9.963369963369963416e-06,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.890599215520137468e-06
9.963369963369963416e-06,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.965129662739189913e-06
9.963369963369963416e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.948373843801219743e-06
9.963369963369963416e-06,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.483961928571266525e-06
9.963369963369963416e-06,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.322810780126345457e-06
1.494505494505494512e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.363755771447126310e-05
1.494505494505494512e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.052957901595055621e-05
1.494505494505494512e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.884752074905026374e-06
1.494505494505494512e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,8.141856132198909204e-06
1.494505494505494512e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.880404945888759075e-06
1.992673992673992683e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.134700931891162011e-05
1.992673992673992683e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.723713856712581269e-05
1.992673992673992683e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.505433570923928750e-05
1.992673992673992683e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.406239106947113151e-05
1.992673992673992683e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.370669482290934625e-05
2.490842490842490854e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.942129330033971919e-05
2.490842490842490854e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.460082762597394702e-05
2.490842490842490854e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.203898820399477064e-05
2.490842490842490854e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.087141101892797258e-05
2.490842490842490854e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.044502924712332696e-05
2.989010989010989025e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.739238734707190845e-05
2.989010989010989025e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.217228552759455188e-05
2.989010989010989025e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.939481493164592809e-05
2.989010989010989025e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.812473563402677782e-05
2.989010989010989025e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.765435978815179943e-05
3.487179487179486857e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.521965717747296462e-05
3.487179487179486857e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.977415934520078035e-05
3.487179487179486857e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.687601118990393371e-05
3.487179487179486857e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.554741866921132308e-05
3.487179487179486857e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.504820857049287459e-05
3.985347985347985366e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.319132504366808750e-05
3.985347985347985366e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.752602453826459381e-05
3.985347985347985366e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.451098581285629967e-05
3.985347985347985366e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.312566530750600469e-05
3.985347985347985366e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.260049306636667872e-05
4.483516483516483198e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.081496855328904854e-05
4.483516483516483198e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,5.512755574827107478e-05
4.483516483516483198e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.210139623784413904e-05
4.483516483516483198e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,5.071066219909066755e-05
4.483516483516483198e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.017802164278759838e-05
4.981684981684981708e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.826869114021065922e-05
4.981684981684981708e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,6.258931894009367534e-05
4.981684981684981708e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.956479272108293672e-05
4.981684981684981708e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,5.817013195673582861e-05
4.981684981684981708e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,5.763129485828556503e-05
5.479853479853479540e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.591569293599911524e-05
5.479853479853479540e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,7.016327980330655403e-05
5.479853479853479540e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.709978361877603093e-05
5.479853479853479540e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,6.568541110816746573e-05
5.479853479853479540e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.513582128835331692e-05
5.978021978021978049e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.306542068221763617e-05
5.978021978021978049e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,7.744093673935693075e-05
5.978021978021978049e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.444483152460837252e-05
5.978021978021978049e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,7.306063810594901596e-05
5.978021978021978049e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.251800302217296522e-05
6.476190476190475881e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,9.006799243566908949e-05
6.476190476190475881e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,8.452536221063512354e-05
6.476190476190475881e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.157017367784844973e-05
6.476190476190475881e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,8.020013653556248986e-05
6.476190476190475881e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.966004911075434225e-05
6.974358974358973713e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,9.721047659140270815e-05
6.974358974358973713e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.166687003750278973e-05
6.974358974358973713e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.871235777826201390e-05
6.974358974358973713e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,8.734238046907156345e-05
6.974358974358973713e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.680000985868297099e-05
7.472527472527471545e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.037696613005544254e-04
7.472527472527471545e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.843470560928341804e-05
7.472527472527471545e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.559140999385901279e-05
7.472527472527471545e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.427296620651959942e-05
7.472527472527471545e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,9.374612473772736966e-05
7.970695970695970732e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.103772810529531583e-04
7.970695970695970732e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.051047054255087397e-04
7.970695970695970732e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.022923335136225240e-04
7.970695970695970732e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.009834986070986889e-04
7.970695970695970732e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.004590626441551711e-04
8.468864468864468564e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.169532125418442216e-04
8.468864468864468564e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.117419000398517701e-04
8.468864468864468564e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.089644759479182524e-04
8.468864468864468564e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.076731147294152828e-04
8.468864468864468564e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.071529561149990562e-04
8.967032967032966396e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.229178598706809540e-04
8.967032967032966396e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.179493610768300211e-04
8.967032967032966396e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.152992169686207856e-04
8.967032967032966396e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.140651894796634451e-04
8.967032967032966396e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.135639594657137036e-04
9.465201465201464228e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.290146638002765138e-04
9.465201465201464228e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.241054867568153338e-04
9.465201465201464228e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.214844136333087071e-04
9.465201465201464228e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.202600707912342473e-04
9.465201465201464228e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.197623063509855776e-04
9.963369963369963416e-05,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.349269308516379598e-04
9.963369963369963416e-05,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.301369086668431737e-04
9.963369963369963416e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.275817901590612117e-04
9.963369963369963416e-05,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.263896119664708782e-04
9.963369963369963416e-05,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.259018777711624090e-04
1.046153846153846125e-04,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.404395451578498405e-04
1.046153846153846125e-04,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.358456089680320589e-04
1.046153846153846125e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.333926349658152240e-04
1.046153846153846125e-04,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.322451770318707354e-04
1.046153846153846125e-04,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.317731898864536071e-04
1.095970695970695908e-04,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.460565771773526908e-04
1.095970695970695908e-04,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.415210993601997036e-04
1.095970695970695908e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.390989360992663686e-04
1.095970695970695908e-04,5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.379647903715374737e-04
1.095970695970695908e-04,1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.374979115628318250e-04
1.145787545787545691e-04,-1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.514263689331098346e-04
1.145787545787545691e-04,-5.000000000000000104e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.470273428739609538e-04
1.145787545787545691e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.446794328021536961e-04
