time_s,sensor_id,x_m,y_m,exx,eyy,exy,exx_plus_eyy,eps_axis,eps_impact_dir
2.989010989010989025e-05,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,-5.956594989040704066e-10,-3.946791753324611261e-10,-1.090109221177554583e-09,-9.903386742365314294e-10,-5.956594989040704066e-10,-1.211558680869304387e-09
3.487179487179486857e-05,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,-3.681747566681246496e-10,-2.300251874618821185e-10,-1.907600681195073780e-09,-5.981999441300067163e-10,-3.681747566681246496e-10,-1.291226798293639420e-09
3.487179487179486857e-05,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,2.258164159984762825e-09,8.460679174562882953e-10,-2.131942299664216919e-08,3.104232077441051327e-09,2.258164159984762825e-09,-1.897278709886511202e-08
3.487179487179486857e-05,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,-2.022184753212540939e-18,-1.675155133821743201e-18,-3.726057492341700296e-18,-3.697339887034284140e-18,-2.022184753212540939e-18,-5.507223448378202251e-18
3.487179487179486857e-05,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,-7.392721780535692251e-10,-5.627351866099211722e-10,-1.850826083802705219e-09,-1.302007364663490397e-09,-7.392721780535692251e-10,-1.924372359509662027e-09
3.985347985347985366e-05,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,-2.956645571936460869e-09,1.562713153499453079e-10,-1.423685867025996349e-08,-2.800374256586515406e-09,-2.956645571936460869e-09,-9.712942890608036495e-09
3.985347985347985366e-05,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,1.686560850562931435e-08,1.066172885804142329e-08,-6.697468339519150895e-09,2.752733736367073765e-08,1.686560850562931435e-08,8.007975690927865368e-09
3.985347985347985366e-05,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,-1.564775707874458997e-12,-1.329193973546245812e-12,-2.929028326051693034e-12,-2.893969681420705011e-12,-1.564775707874458997e-12,-4.318476730205596754e-12
3.985347985347985366e-05,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,1.275665700357893935e-10,-1.390526247982891537e-09,-7.577560799490027319e-09,-1.262959677947102092e-09,1.275665700357893935e-10,-6.621176443977473515e-09
4.483516483516483198e-05,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,-5.012959295117930611e-09,5.908197605696290354e-10,-2.495124649724096260e-08,-4.422139534548301369e-09,-5.012959295117930611e-09,-1.684447785659360500e-08
4.483516483516483198e-05,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,2.099792292906414298e-08,7.996006152949063070e-09,-1.534263117352447517e-08,2.899392908201320605e-08,2.099792292906414298e-08,1.166364139920469819e-09
4.483516483516483198e-05,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,-7.207479313058632085e-10,-6.370998362725223411e-10,-1.401180701995126685e-09,-1.357847767578385550e-09,-7.207479313058632085e-10,-2.049089828681200174e-09
4.483516483516483198e-05,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,1.113741477407414747e-10,-2.211533933627919501e-09,-1.818608949839810049e-08,-2.100159785887178181e-09,1.113741477407414747e-10,-1.496782651388244455e-08
4.981684981684981708e-05,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,-4.079148759326300868e-09,-3.302491956762476068e-10,-1.531274440487635292e-08,-4.409397955002548733e-09,-4.079148759326300868e-09,-1.132048870880324326e-08
4.981684981684981708e-05,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,-1.453513020601123659e-07,-1.579293828220764650e-07,-3.724514968711371792e-07,-3.032806848821888309e-07,-1.453513020601123659e-07,-5.116644762408602783e-07
4.981684981684981708e-05,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,-9.152677109790625724e-10,-8.575536780719472049e-10,-1.829003061330191805e-09,-1.772821389051009881e-09,-9.152677109790625724e-10,-2.668743898692419390e-09
4.981684981684981708e-05,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,4.950656320644578310e-10,-2.561389056950657332e-09,-8.281166528280830315e-09,-2.066323424886199605e-09,4.950656320644578310e-10,-8.063146132643132132e-09
5.479853479853479540e-05,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,-7.716981237475776163e-09,-8.913847628120347526e-11,-1.476090739317835942e-09,-7.806119713756980388e-09,-7.716981237475776163e-09,-7.952023192606249191e-09
5.479853479853479540e-05,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,-4.408287889652074982e-07,-4.744771415126728351e-07,-1.037871394672556485e-06,-9.153059304778803863e-07,-4.408287889652074982e-07,-1.461062764362928104e-06
5.479853479853479540e-05,1.300000000000000000e+01,7.749999999999999944e-02,6.500000000000000222e-02,1.333955375371096474e-10,4.561016822101025012e-11,3.572486055589065237e-10,1.790057057581199040e-10,1.333955375371096474e-10,4.468297529466739950e-10
5.479853479853479540e-05,1.400000000000000000e+01,1.925000000000000044e-01,6.500000000000000222e-02,8.166146882319551471e-10,-3.800773057210768358e-09,7.370657853701678321e-09,-2.984158368978813418e-09,8.166146882319551471e-10,2.222829911130060732e-09
5.978021978021978049e-05,9.000000000000000000e+00,7.749999999999999944e-02,1.549999999999999989e-01,-6.716446461943821761e-09,1.049333328237213265e-09,6.205945484309566101e-09,-5.667113133706608289e-09,-6.716446461943821761e-09,-3.190058805101417302e-09
5.978021978021978049e-05,1.000000000000000000e+01,1.925000000000000044e-01,1.549999999999999989e-01,-1.606388181688823967e-07,-3.651216157977175890e-07,-7.110289190217412490e-07,-5.257604339665999592e-07,-1.606388181688823967e-07,-9.284985735988289948e-07
